epoch,avg_cls_loss,avg_div_loss,avg_open_loss,avg_total_loss,acc_tar,acc_un_tar,acc_k_tar,HOS,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,lr,folder
24,0.0064,0.024,1.1377,0.5984,0.298,1.0,0.2629,41.6345,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
25,0.0034,0.021,1.1343,0.5909,0.2471,1.0,0.2094,34.6301,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
26,0.0037,0.019,1.1336,0.589,0.2563,0.9963,0.2193,35.9496,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
27,0.0041,0.0176,1.1327,0.5877,0.2638,0.9963,0.2272,37.0046,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
28,0.007,0.0175,1.1318,0.5901,0.2545,0.9963,0.2174,35.6925,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
29,0.0029,0.0155,1.1313,0.5839,0.2401,1.0,0.2021,33.6254,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
30,0.0039,0.0147,1.1303,0.5836,0.2796,0.9963,0.2438,39.176,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
31,0.0016,0.0125,1.1293,0.5786,0.2302,1.0,0.1917,32.1698,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
32,0.0031,0.0132,1.1301,0.5812,0.2773,1.0,0.2411,38.8587,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
33,0.0025,0.0118,1.1291,0.5788,0.2943,0.9963,0.2592,41.1361,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
34,0.0039,0.011,1.1289,0.5792,0.2525,0.9963,0.2153,35.4066,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
35,0.0015,0.0106,1.1285,0.5762,0.2496,1.0,0.2121,35.0015,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
36,0.0032,0.0091,1.1281,0.5762,0.285,0.9963,0.2494,39.8915,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
37,0.0022,0.0085,1.1277,0.5745,0.2495,0.9963,0.2121,34.9774,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
38,0.0069,0.0095,1.1281,0.5804,0.2579,1.0,0.2208,36.1767,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
39,0.0029,0.0088,1.1284,0.5758,0.2971,0.9963,0.2621,41.5006,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
40,0.0021,0.0085,1.1279,0.5745,0.2475,0.9963,0.2101,34.699,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
41,0.0034,0.0074,1.1279,0.5747,0.2603,0.9925,0.2237,36.5046,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
42,0.0011,0.0069,1.1275,0.5717,0.2781,0.9925,0.2424,38.963,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
43,0.0014,0.0065,1.1271,0.5715,0.274,1.0,0.2377,38.4146,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
44,0.0012,0.0054,1.1275,0.5703,0.2876,1.0,0.252,40.2513,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
45,0.0017,0.0052,1.1269,0.5704,0.2728,0.9925,0.2368,38.2393,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
46,0.0012,0.0045,1.1272,0.5693,0.2792,0.9925,0.2435,39.1064,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
47,0.0032,0.0059,1.1273,0.5727,0.2343,0.9963,0.1962,32.7866,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
48,0.0011,0.0053,1.1272,0.57,0.25,0.9963,0.2127,35.0593,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
49,0.0009,0.0041,1.1269,0.5685,0.2852,1.0,0.2494,39.9284,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
50,0.0032,0.0038,1.1268,0.5704,0.2684,1.0,0.2319,37.6433,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
51,0.0011,0.0037,1.1271,0.5683,0.248,0.9963,0.2106,34.7672,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
52,0.0039,0.0039,1.1272,0.5714,0.3148,0.9963,0.2807,43.798,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
53,0.0014,0.0036,1.1272,0.5686,0.2749,1.0,0.2386,38.53,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
54,0.0015,0.0032,1.1273,0.5684,0.2535,0.9963,0.2164,35.5579,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
55,0.0016,0.0028,1.1268,0.5678,0.2842,0.9963,0.2486,39.7963,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
56,0.0011,0.0028,1.1268,0.5672,0.2739,0.9963,0.2378,38.393,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
57,0.001,0.0022,1.1268,0.5666,0.2804,0.9963,0.2446,39.273,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
58,0.0014,0.0021,1.1268,0.5669,0.3243,0.9963,0.2907,45.0107,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
59,0.0026,0.0025,1.1269,0.5685,0.2553,0.9963,0.2182,35.8027,0.5,0.0,1.0,pro1,0.01,2025-03-14_17-41-26
