epoch,acc_tar,acc_k_tar,acc_un_tar,HOS,lr,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,folder
26,0.9064,0.9041,0.9513,92.713,0.01,0.5,0.0,0.5,pro1,2025-02-26_12-25-53
23,0.9456,0.9476,0.9064,92.6529,0.01,0.5,0.0,0.7,pro1,2025-02-26_13-04-14
22,0.864,0.8597,0.9513,90.3165,0.01,0.5,0.0,0.9,pro1,2025-02-26_13-42-36
19,0.9079,0.9057,0.9513,92.7943,0.01,0.5,0.0,1.0,pro1,2025-02-26_14-20-10
18,0.9066,0.9043,0.9513,92.7218,0.01,0.5,0.0,1.1,pro1,2025-02-26_14-58-06
15,0.9613,0.9635,0.9176,93.9999,0.01,0.5,0.0,1.3,pro1,2025-02-26_15-36-26
15,0.9505,0.9525,0.9101,93.0835,0.01,0.5,0.0,1.5,pro1,2025-02-26_16-14-31
