epoch,acc_tar,acc_k_tar,acc_un_tar,HOS,lr,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,folder
6,0.2079,0.1689,0.9872,28.8459,0.01,0.5,0.0,0.5,pro1,2025-02-26_12-25-53
5,0.3454,0.3142,0.9704,47.4692,0.01,0.5,0.0,0.7,pro1,2025-02-26_13-39-52
4,0.6613,0.6531,0.8261,72.9467,0.01,0.5,0.0,0.9,pro1,2025-02-26_14-53-57
4,0.4832,0.4592,0.9634,62.1923,0.01,0.5,0.0,1.0,pro1,2025-02-26_16-07-07
4,0.2982,0.2639,0.9842,41.621,0.01,0.5,0.0,1.1,pro1,2025-02-26_17-13-41
4,0.3497,0.3177,0.9881,48.0862,0.01,0.5,0.0,1.3,pro1,2025-02-26_18-16-28
4,0.1915,0.1522,0.9763,26.3387,0.01,0.5,0.0,1.5,pro1,2025-02-26_19-18-21
