epoch,acc_tar,acc_k_tar,acc_un_tar,HOS,lr,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,folder
1,0.7449,0.7822,0.0,0.0,0.01,0.1,0.0,1.0,pro1,2025-02-25_13-45-19
9,0.5321,0.5111,0.9536,66.5459,0.01,0.3,0.0,1.0,pro1,2025-02-25_15-00-44
6,0.3473,0.3163,0.9664,47.6613,0.01,0.4,0.0,1.0,pro1,2025-02-25_16-13-41
4,0.7067,0.7042,0.7559,72.9142,0.01,0.5,0.0,1.0,pro1,2025-02-25_17-26-21
3,0.649,0.6381,0.8676,73.5325,0.01,0.6,0.0,1.0,pro1,2025-02-25_18-31-40
22,0.2236,0.1872,0.9536,31.2897,0.01,0.7,0.0,1.0,pro1,2025-02-25_19-33-21
29,0.2548,0.2197,0.9575,35.7372,0.01,0.9,0.0,1.0,pro1,2025-02-25_20-37-06
