epoch,acc_tar,acc_k_tar,acc_un_tar,HOS,lr,gamma_openloss,alpha_div,maxEnt_mult,pro_strategy,folder
1,0.9382,0.9852,0.0,0.0,0.01,0.1,0.0,1.0,pro1,2025-02-25_13-45-19
1,0.9371,0.984,0.0,0.0,0.01,0.3,0.0,1.0,pro1,2025-02-25_14-23-18
26,0.9515,0.9588,0.8052,87.5358,0.01,0.4,0.0,1.0,pro1,2025-02-25_15-02-09
17,0.956,0.96,0.8764,91.6278,0.01,0.5,0.0,1.0,pro1,2025-02-25_15-40-07
13,0.9147,0.9144,0.9213,91.7867,0.01,0.6,0.0,1.0,pro1,2025-02-25_16-17-06
10,0.957,0.9599,0.8989,92.8369,0.01,0.7,0.0,1.0,pro1,2025-02-25_16-54-36
7,0.791,0.7815,0.9813,87.004,0.01,0.9,0.0,1.0,pro1,2025-02-25_17-32-35
